itemId,companyName,productName
1,Fay - Fisher,Practical Fresh Chicken
2,"Ledner, Schinner and Kuhn",Awesome Fresh Fish
3,Bergnaum - Satterfield,Awesome Cotton Chair
4,Wilkinson and Sons,Rustic Granite Gloves
5,Feeney - Koss,Intelligent Plastic Chair
6,Funk LLC,Handmade Concrete Keyboard
7,Parker - Abernathy,Generic Frozen Sausages
8,"Volkman, Johnson and Effertz",Rustic Wooden Gloves
9,Batz LLC,Tasty Wooden Chair
10,Spencer Inc,Awesome Steel Pizza
11,Kirlin Group,Practical Steel Soap
12,Littel - Funk,Ergonomic Rubber Computer
13,Schoen Inc,Handmade Metal Table
14,Abbott - Hirthe,Intelligent Rubber Salad
15,"Runolfsson, Murray and Stark",Practical Metal Car
16,Johns Inc,Practical Cotton Pizza
17,"Stanton, Hammes and Windler",Tasty Soft Tuna
18,"Windler, Bayer and Turner",Practical Steel Pizza
19,Rempel and Sons,Licensed Granite Table
20,Kerluke - Jacobi,Unbranded Cotton Chips
